iter	Passed	Remaining
686	5026	2290
687	5029	2280
688	5047	2278
689	5050	2268
690	5051	2258
691	5053	2249
692	5085	2253
693	5095	2246
694	5099	2237
695	5101	2228
696	5105	2219
697	5109	2210
698	5112	2201
699	5114	2191
700	5117	2182
701	5121	2174
702	5143	2173
703	5145	2163
704	5148	2154
705	5210	2169
706	5260	2180
707	5263	2170
708	5266	2161
709	5302	2165
710	5306	2156
711	5310	2147
712	5338	2148
713	5342	2139
714	5345	2130
715	5351	2122
716	5355	2113
717	5358	2104
718	5361	2095
719	5366	2087
720	5370	2078
721	5384	2073
722	5409	2072
723	5414	2064
724	5417	2054
725	5418	2044
726	5427	2038
727	5432	2029
728	5470	2033
729	5473	2024
730	5489	2019
731	5494	2011
732	5497	2002
733	5499	1993
734	5501	1983
735	5503	1974
736	5505	1964
737	5509	1955
738	5511	1946
739	5514	1937
740	5536	1935
741	5539	1926
742	5566	1925
743	5569	1916
744	5574	1908
745	5625	1915
746	5658	1916
747	5725	1929
748	5728	1919
749	5731	1910
750	5763	1910
751	5766	1901
752	5775	1894
753	5778	1885
754	5781	1876
755	5803	1872
756	5813	1866
757	5992	1913
758	5996	1903
759	5999	1894
760	6003	1885
761	6006	1876
762	6009	1866
763	6013	1857
764	6017	1848
765	6021	1839
766	6025	1830
767	6030	1821
768	6033	1812
769	6035	1802
770	6038	1793
771	6041	1784
772	6046	1775
773	6048	1766
774	6051	1756
775	6054	1747
776	6057	1738
777	6063	1730
778	6067	1721
779	6069	1712
780	6072	1702
781	6079	1694
782	6082	1685
783	6091	1678
784	6109	1673
785	6113	1664
786	6186	1674
787	6225	1674
788	6228	1665
789	6241	1659
790	6243	1649
791	6247	1640
792	6253	1632
793	6255	1623
794	6258	1613
795	6260	1604
796	6263	1595
797	6267	1586
798	6270	1577
799	6273	1568
800	6275	1559
801	6278	1549
802	6283	1541
803	6288	1532
804	6290	1523
805	6293	1514
806	6299	1506
807	6303	1497
808	6306	1488
809	6314	1481
810	6317	1472
811	6320	1463
812	6323	1454
813	6328	1445
814	6331	1437
815	6333	1428
816	6336	1419
817	6338	1410
818	6343	1402
819	6347	1393
820	6350	1384
821	6352	1375
822	6355	1366
823	6370	1360
824	6395	1356
825	6399	1348
826	6425	1344
827	6442	1338
828	6445	1329
829	6448	1320
830	6453	1312
831	6454	1303
832	6459	1295
833	6463	1286
834	6467	1277
835	6470	1269
836	6481	1262
837	6483	1253
838	6498	1246
839	6502	1238
840	6505	1229
841	6508	1221
842	6516	1213
843	6520	1205
844	6522	1196
845	6529	1188
846	6533	1180
847	6539	1172
848	6546	1164
849	6550	1155
850	6552	1147
851	6554	1138
852	6556	1129
853	6562	1121
854	6565	1113
855	6569	1105
856	6573	1096
857	6577	1088
858	6580	1080
859	6582	1071
860	6585	1063
861	6592	1055
862	6595	1047
863	6600	1038
864	6606	1031
865	6611	1022
866	6614	1014
867	6617	1006
868	6629	999
869	6631	990
870	6636	982
871	6639	974
872	6642	966
873	6645	958
874	6648	949
875	6653	941
876	6657	933
877	6661	925
878	6681	919
879	6699	913
880	6706	905
881	6709	897
882	6711	889
883	6722	882
884	6725	873
885	6727	865
886	6733	857
887	6736	849
888	6739	841
889	6742	833
890	6760	826
891	6763	818
892	6766	810
893	6770	802
894	6772	794
895	6777	786
896	6782	778
897	6788	771
898	6793	763
899	6797	755
900	6801	747
901	6805	739
902	6809	731
903	6814	723
904	6817	715
905	6832	708
906	6836	700
907	6840	693
908	6845	685
909	6848	677
910	6852	669
911	6857	661
912	6860	653
913	6863	645
914	6871	638
915	6877	630
916	6880	622
917	6887	615
918	6894	607
919	6898	599
920	6904	592
921	6907	584
922	6910	576
923	6916	568
924	6921	561
925	6928	553
926	6934	546
927	6936	538
928	6939	530
929	6942	522
930	6947	514
931	6950	507
932	6953	499
933	6956	491
934	6962	484
935	6966	476
936	6971	468
937	6974	460
938	6979	453
939	6982	445
940	6985	437
941	6998	430
942	7002	423
943	7010	415
944	7013	408
945	7016	400
946	7023	393
947	7026	385
948	7030	377
949	7033	370
950	7040	362
951	7043	355
952	7045	347
953	7048	339
954	7054	332
955	7057	324
956	7060	317
957	7063	309
958	7067	302
959	7072	294
960	7075	287
961	7078	279
962	7083	272
963	7087	264
964	7092	257
965	7098	249
966	7102	242
967	7105	234
968	7108	227
969	7115	220
970	7118	212
971	7122	205
972	7125	197
973	7134	190
974	7139	183
975	7145	175
976	7149	168
977	7152	160
978	7155	153
979	7159	146
980	7162	138
981	7164	131
982	7168	123
983	7171	116
984	7176	109
985	7182	101
986	7186	94
987	7193	87
988	7197	80
989	7200	72
990	7202	65
991	7208	58
992	7212	50
993	7214	43
994	7216	36
995	7220	28
996	7226	21
997	7229	14
998	7232	7
999	7237	0
	7086	42
994	7090	35
995	7094	28
996	7097	21
997	7099	14
998	7102	7
999	7108	0
34
996	8510	25
997	8512	17
998	8519	8
999	8521	0
