Modelname,STrain,SValid,Pclass,Sex,Age,SibSp,Parch,Fare,C,Q,S,Name,Ticket,Cabin,Embarked,Age_Code,Age_Code_N,SPublic,Title_Code,Embarked_Code,Search,CV,Bestparams,Title,FareBin,Fare_Code,Vestparams,Family
47,ETC,0.9831460674157303,0.8044692737430168,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,x,x,x,x,x,x,o,x,o
48,ETC,0.9831460674157303,0.8156424581005587,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,o,x,x,x,x,x,x,o,x,o
49,ETC,0.9831460674157303,0.8212290502793296,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,o,x,x,x,x,x,o,x,o
50,ETC,0.9831460674157303,0.8324022346368715,o,o,o,o,o,o,x,x,x,x,x,x,x,x,3,x,o,o,x,x,x,x,x,o,x,o
51,ETC,0.9831460674157303,0.8100558659217877,o,o,o,o,o,o,x,x,x,x,x,x,x,x,3,x,o,o,x,x,x,x,x,o,x,x
52,ETC,0.9831460674157303,0.8044692737430168,o,o,o,x,x,o,x,x,x,x,x,x,x,x,3,x,o,o,x,x,x,x,x,o,x,o
53,ETC,0.9831460674157303,0.8156424581005587,x,o,o,o,o,o,x,x,x,x,x,x,x,x,3,x,o,o,x,x,x,x,x,o,x,o
54,ETC,0.9831460674157303,0.7821229050279329,o,o,o,o,o,o,x,x,x,x,x,x,x,x,3,x,o,o,x,x,x,x,x,x,x,o
55,ETC,0.9719101123595506,0.7877094972067039,o,o,o,o,o,x,x,x,x,x,x,x,x,x,3,x,o,o,x,x,x,x,x,o,x,o
56,ETC,0.8567415730337079,0.8212290502793296,o,o,o,o,o,o,x,x,x,x,x,x,x,x,3,x,o,o,BS,5,x,x,x,o,"OrderedDict([('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 600)])",o
57,RFC,0.9691011235955056,0.7877094972067039,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,5,x,x,x,x,x,x
58,RFC,0.9171348314606742,0.8379888268156425,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,BS,5,x,x,x,x,"OrderedDict([('max_depth', 10), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 1600)])",x
59,Ensemble,0.9932659932659933,0.9932659932659933,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,x,x,x
60,XGB,0.8918539325842697,0.8156424581005587,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,x,x,x
61,Ensemble,0.8058361391694725,0.8058361391694725,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,x,x,x
62,Ensemble,0.9932659932659933,0.9932659932659933,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,x,x,x
63,Ensemble,0.9438832772166106,0.9438832772166106,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,x,x,x
64,Ensemble,0.9887766554433222,0.8260381593714927,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,x,x,x
